student_id,attendance_percent,assignment_score,internal_marks,study_hours_per_week,final_exam_marks
ST0001,90.3,69.4,88.0,2.9,69.8
ST0002,67.2,55.9,91.5,10.5,68.6
ST0003,64.1,71.1,55.1,2.7,57.1
ST0004,61.1,98.7,82.4,21.2,66.0
ST0005,83.3,48.2,98.5,12.2,74.5
ST0006,93.5,92.1,87.4,4.7,69.3
ST0007,70.6,42.7,57.8,4.0,55.5
ST0008,94.5,57.7,79.3,14.7,72.3
ST0009,51.5,65.4,99.5,4.6,60.2
ST0010,84.0,95.3,75.5,23.0,75.3
ST0011,95.0,80.6,84.6,12.3,70.4
ST0012,69.7,39.6,41.0,4.5,42.1
ST0013,83.0,77.5,77.0,21.5,61.8
ST0014,61.6,83.6,68.5,4.2,57.4
ST0015,70.6,87.9,69.7,21.6,63.4
ST0016,68.0,45.8,37.5,20.1,65.5
ST0017,64.3,70.0,69.3,23.4,67.1
ST0018,81.7,78.6,37.7,4.1,45.0
ST0019,51.1,64.9,97.5,2.3,67.0
ST0020,58.1,90.1,47.3,12.7,67.4
ST0021,52.1,99.4,35.2,23.9,59.6
ST0022,81.1,88.7,61.9,17.1,67.1
ST0023,90.8,48.4,70.5,14.5,69.9
ST0024,96.8,74.8,39.3,19.6,67.3
ST0025,97.0,50.9,45.2,24.0,72.7
ST0026,92.8,43.4,30.4,23.8,63.0
ST0027,93.8,65.5,52.2,1.5,69.6
ST0028,77.2,87.2,78.0,18.8,84.1
ST0029,93.7,39.4,43.8,24.6,65.6
ST0030,50.3,50.4,67.9,1.9,50.0
ST0031,60.8,45.8,47.0,16.8,72.0
ST0032,53.0,82.4,92.2,11.4,63.8
ST0033,54.4,35.3,72.2,20.8,55.7
ST0034,86.3,74.9,89.2,7.8,76.0
ST0035,54.0,53.2,92.9,9.2,68.1
ST0036,54.0,70.5,93.0,1.6,63.6
ST0037,57.3,93.5,66.4,22.1,67.8
ST0038,51.2,86.5,78.0,16.6,78.2
ST0039,51.0,40.3,54.0,22.4,61.7
ST0040,87.2,68.6,36.5,14.2,49.0
ST0041,70.8,97.0,56.9,17.8,70.0
ST0042,78.1,59.4,66.0,24.1,66.1
ST0043,86.7,64.2,52.7,11.4,53.0
ST0044,89.6,58.4,31.6,24.6,70.7
ST0045,74.6,91.4,94.1,11.2,78.4
ST0046,71.4,46.7,99.5,10.9,58.9
ST0047,85.2,92.1,76.8,17.9,68.2
ST0048,72.9,67.7,41.7,12.0,57.9
ST0049,63.3,39.6,76.4,14.1,58.7
ST0050,74.4,56.4,82.8,13.9,72.9
ST0051,91.1,57.1,58.6,12.9,63.7
ST0052,82.4,67.3,35.3,6.5,49.3
ST0053,96.9,97.5,34.6,8.1,57.3
ST0054,61.9,41.1,96.7,14.7,79.2
ST0055,94.5,73.7,45.1,17.4,65.6
ST0056,79.2,43.5,52.7,10.6,58.2
ST0057,69.2,42.0,95.4,15.8,63.9
ST0058,93.6,88.4,58.3,2.1,73.4
ST0059,90.3,52.0,96.4,18.0,82.5
ST0060,99.7,54.0,86.3,5.8,62.9
ST0061,92.2,68.4,97.7,23.8,86.4
ST0062,56.3,61.3,48.8,4.2,57.4
ST0063,57.5,63.3,86.2,4.5,50.6
ST0064,67.0,77.7,85.0,23.5,67.9
ST0065,88.3,59.8,62.1,19.3,70.6
ST0066,86.1,48.4,36.5,2.6,43.9
ST0067,90.7,86.4,42.5,12.6,74.6
ST0068,91.6,49.3,94.8,22.1,81.4
