student_id,attendance_percent,assignment_score,internal_marks,study_hours_per_week,final_exam_marks,internal_assessment_average,attendance_category,study_hour_group
ST0001,90.3,69.4,88.0,2.9,69.8,78.7,High,Low
ST0002,67.2,55.9,91.5,10.5,68.6,73.7,Medium,Medium
ST0003,64.1,71.1,55.1,2.7,57.1,63.099999999999994,Medium,Low
ST0004,61.1,98.7,82.4,21.2,66.0,90.55000000000001,Medium,High
ST0005,83.3,48.2,98.5,12.2,74.5,73.35,High,Medium
ST0006,93.5,92.1,87.4,4.7,69.3,89.75,High,Low
ST0007,70.6,42.7,57.8,4.0,55.5,50.25,Medium,Low
ST0008,94.5,57.7,79.3,14.7,72.3,68.5,High,Medium
ST0009,51.5,65.4,99.5,4.6,60.2,82.45,Low,Low
ST0010,84.0,95.3,75.5,23.0,75.3,85.4,High,High
ST0011,95.0,80.6,84.6,12.3,70.4,82.6,High,Medium
ST0012,69.7,39.6,41.0,4.5,42.1,40.3,Medium,Low
ST0013,83.0,77.5,77.0,21.5,61.8,77.25,High,High
ST0014,61.6,83.6,68.5,4.2,57.4,76.05,Medium,Low
ST0015,70.6,87.9,69.7,21.6,63.4,78.80000000000001,Medium,High
ST0016,68.0,45.8,37.5,20.1,65.5,41.65,Medium,High
ST0017,64.3,70.0,69.3,23.4,67.1,69.65,Medium,High
ST0018,81.7,78.6,37.7,4.1,45.0,58.15,High,Low
ST0019,51.1,64.9,97.5,2.3,67.0,81.2,Low,Low
ST0020,58.1,90.1,47.3,12.7,67.4,68.69999999999999,Low,Medium
ST0021,52.1,99.4,35.2,23.9,59.6,67.30000000000001,Low,High
ST0022,81.1,88.7,61.9,17.1,67.1,75.3,High,Medium
ST0023,90.8,48.4,70.5,14.5,69.9,59.45,High,Medium
ST0024,96.8,74.8,39.3,19.6,67.3,57.05,High,Medium
ST0025,97.0,50.9,45.2,24.0,72.7,48.05,High,High
ST0026,92.8,43.4,30.4,23.8,63.0,36.9,High,High
ST0027,93.8,65.5,52.2,1.5,69.6,58.85,High,Low
ST0028,77.2,87.2,78.0,18.8,84.1,82.6,High,Medium
ST0029,93.7,39.4,43.8,24.6,65.6,41.599999999999994,High,High
ST0030,50.3,50.4,67.9,1.9,50.0,59.150000000000006,Low,Low
ST0031,60.8,45.8,47.0,16.8,72.0,46.4,Medium,Medium
ST0032,53.0,82.4,92.2,11.4,63.8,87.30000000000001,Low,Medium
ST0033,54.4,35.3,72.2,20.8,55.7,53.75,Low,High
ST0034,86.3,74.9,89.2,7.8,76.0,82.05000000000001,High,Low
ST0035,54.0,53.2,92.9,9.2,68.1,73.05000000000001,Low,Low
ST0036,54.0,70.5,93.0,1.6,63.6,81.75,Low,Low
ST0037,57.3,93.5,66.4,22.1,67.8,79.95,Low,High
ST0038,51.2,86.5,78.0,16.6,78.2,82.25,Low,Medium
ST0039,51.0,40.3,54.0,22.4,61.7,47.15,Low,High
ST0040,87.2,68.6,36.5,14.2,49.0,52.55,High,Medium
ST0041,70.8,97.0,56.9,17.8,70.0,76.95,Medium,Medium
ST0042,78.1,59.4,66.0,24.1,66.1,62.7,High,High
ST0043,86.7,64.2,52.7,11.4,53.0,58.45,High,Medium
ST0044,89.6,58.4,31.6,24.6,70.7,45.0,High,High
ST0045,74.6,91.4,94.1,11.2,78.4,92.75,High,Medium
ST0046,71.4,46.7,99.5,10.9,58.9,73.1,Medium,Medium
ST0047,85.2,92.1,76.8,17.9,68.2,84.44999999999999,High,Medium
ST0048,72.9,67.7,41.7,12.0,57.9,54.7,Medium,Medium
ST0049,63.3,39.6,76.4,14.1,58.7,58.0,Medium,Medium
ST0050,74.4,56.4,82.8,13.9,72.9,69.6,High,Medium
ST0051,91.1,57.1,58.6,12.9,63.7,57.85,High,Medium
ST0052,82.4,67.3,35.3,6.5,49.3,51.3,High,Low
ST0053,96.9,97.5,34.6,8.1,57.3,66.05,High,Low
ST0054,61.9,41.1,96.7,14.7,79.2,68.9,Medium,Medium
ST0055,94.5,73.7,45.1,17.4,65.6,59.400000000000006,High,Medium
ST0056,79.2,43.5,52.7,10.6,58.2,48.1,High,Medium
ST0057,69.2,42.0,95.4,15.8,63.9,68.7,Medium,Medium
ST0058,93.6,88.4,58.3,2.1,73.4,73.35,High,Low
ST0059,90.3,52.0,96.4,18.0,82.5,74.2,High,Medium
ST0060,99.7,54.0,86.3,5.8,62.9,70.15,High,Low
ST0061,92.2,68.4,97.7,23.8,86.4,83.05000000000001,High,High
ST0062,56.3,61.3,48.8,4.2,57.4,55.05,Low,Low
ST0063,57.5,63.3,86.2,4.5,50.6,74.75,Low,Low
ST0064,67.0,77.7,85.0,23.5,67.9,81.35,Medium,High
ST0065,88.3,59.8,62.1,19.3,70.6,60.95,High,Medium
ST0066,86.1,48.4,36.5,2.6,43.9,42.45,High,Low
ST0067,90.7,86.4,42.5,12.6,74.6,64.45,High,Medium
ST0068,91.6,49.3,94.8,22.1,81.4,72.05,High,High
ST0069,91.0,69.4,64.3,15.9,75.0,66.85,High,Medium
ST0070,83.1,52.8,92.8,18.1,74.1,72.8,High,Medium
ST0071,99.3,96.3,39.1,14.3,68.1,67.7,High,Medium
ST0072,55.5,53.6,54.1,23.9,75.1,53.85,Low,High
ST0073,52.3,77.8,76.1,19.5,88.5,76.94999999999999,Low,Medium
ST0074,95.7,82.0,62.5,9.4,73.6,72.25,High,Low
ST0075,93.5,82.0,57.3,9.7,62.2,69.65,High,Low
ST0076,98.6,35.5,75.5,19.9,70.8,55.5,High,Medium
ST0077,92.7,76.3,80.9,7.9,81.0,78.6,High,Low
ST0078,62.9,70.6,57.4,6.9,62.9,64.0,Medium,Low
ST0079,53.4,87.7,42.8,22.1,35.8,65.25,Low,High
ST0080,83.6,81.7,39.3,13.7,61.9,60.5,High,Medium
ST0081,89.7,38.4,76.5,6.0,50.1,57.45,High,Low
ST0082,96.3,40.3,93.8,7.0,65.2,67.05,High,Low
ST0083,69.6,76.4,73.7,3.7,64.3,75.05000000000001,Medium,Low
ST0084,90.3,73.9,32.2,11.0,71.4,53.050000000000004,High,Medium
ST0085,61.3,95.5,30.7,24.3,62.4,63.1,Medium,High
ST0086,71.5,78.6,99.8,7.5,61.5,89.19999999999999,Medium,Low
ST0087,56.9,44.6,42.9,24.3,68.9,43.75,Low,High
ST0088,83.4,60.8,44.0,2.2,46.4,52.4,High,Low
ST0089,69.4,67.35619834710744,72.0,3.0,62.9,69.67809917355372,Medium,Low
ST0090,65.2,62.4,32.6,4.1,41.6,47.5,Medium,Low
ST0091,82.5,82.6,31.6,12.4,65.9,57.099999999999994,High,Medium
ST0092,69.1,86.4,94.1,6.0,72.8,90.25,Medium,Low
ST0093,54.3,60.3,66.6,9.5,51.6,63.449999999999996,Low,Low
ST0094,98.4,72.0,80.6,14.0,74.9,76.3,High,Medium
ST0095,94.0,67.7,96.1,12.5,78.3,81.9,High,Medium
ST0096,54.2,86.5,81.2,14.5,63.4,83.85,Low,Medium
ST0097,83.9,79.4,36.0,18.3,73.0,57.7,High,Medium
ST0098,65.8,42.6,74.4,17.1,67.3,58.5,Medium,Medium
ST0099,52.0,36.1,42.1,22.9,48.0,39.1,Low,High
ST0100,67.4,95.1,89.4,20.1,89.7,92.25,Medium,High
